photo,room_num,area,price,orientation,h_num,s_num
https://img.0756fang.com/Upload/Dictionary/2020-03/sD1E757B5B0B14853A94712E028788117.jpg,3室2厅2卫,93.0㎡,32258元,南,1,1267
https://img.0756fang.com/Upload/Dictionary/2020-03/s6736F450765942108E76EBB29A6BD90A.jpg,4室2厅2卫,136.0㎡,31985元,南北通,2,1267
https://img.0756fang.com/Upload/Dictionary/2020-08/s3553D1576EB44D75BA6DA357FCE2D870.jpeg,1室1厅1卫,48.0㎡,27083元,南,0,1472
https://img.0756fang.com/Upload/Dictionary/2020-08/s03EE05797E0F47D48367013118C2CE91.jpeg,1室1厅1卫,64.0㎡,24218元,南,1,1472
https://img.0756fang.com/Upload/fyEstate/130119144425873686132C3FC6180345.jpg,5室2厅3卫,185.0㎡,45297元,东,0,2077
https://img.0756fang.com/Upload/fyEstate/130119144425873686132C3FC6180345.jpg,4室2厅3卫,188.0㎡,42553元,南北通,1,2077
https://img.0756fang.com/Upload/Dictionary/2020-08/s551AA111FC784773B1A4C7600D4318D5.jpeg,4室2厅2卫,151.0㎡,35430元,南北通,0,2037
https://img.0756fang.com/Upload/Dictionary/2021-10/202110240217020175.jpeg,3室1厅1卫,48.0㎡,25000元,南,0,2072
https://img.0756fang.com/Upload/Dictionary/2021-10/202110240217176316.jpeg,2室1厅1卫,36.0㎡,24444元,北,1,2072
https://img.0756fang.com/Upload/Dictionary/2020-11/sDB06407ED9774E83BEA5AAD665BCE543.jpg,4室2厅3卫,161.2㎡,34119元,南,0,1332
https://img.0756fang.com/Upload/Dictionary/2021-10/202110161233044212.jpg,4室2厅3卫,125.0㎡,38960元,南,0,2184
https://img.0756fang.com/Upload/Dictionary/2021-10/202110161236141720.jpg,4室2厅3卫,143.0㎡,40209元,南,1,2184
https://img.0756fang.com/Upload/Dictionary/2017-09/e7be7e88-cd12-4f60-8cd0-fcd831f42b49.png,1室1厅0卫,0㎡,0元,南,0,29
https://img.0756fang.com/Upload/Dictionary/2019-09/17b809ef-0917-421e-9539-b4701e4a92e0.jpg,2室2厅1卫,68.0㎡,32352元,南,0,1297
